namespace,phase,unix_ts
gsm-35,t0,1782470178.722166563
gsm-35,t_apply,1782470179.488258642
gsm-35,t_ready,1782470218.950595568
gsm-35,t_attached,1782470221.349835594
gsm-35,t_test0,1782470221.352047185
gsm-35,t_testN,1782470917.161916403
gsm-35,t_teardown,1782470972.711310697
gsm-43,t0,1782470972.790313863
gsm-43,t_apply,1782470973.441736235
gsm-43,t_ready,1782471013.651659934
gsm-43,t_attached,1782471014.616085651
gsm-43,t_test0,1782471014.618236765
gsm-43,t_testN,1782472486.015284781
gsm-43,t_teardown,1782472543.001747058
gsm-51,t0,1782472543.089262677
gsm-51,t_apply,1782472544.336018269
gsm-51,t_ready,1782472580.728739597
gsm-51,t_attached,1782472582.321001815
gsm-51,t_test0,1782472582.323513591
gsm-51,t_testN,1782472690.439017683
